feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23	experiment 24	experiment 25	experiment 26	experiment 27	experiment 28	experiment 29	experiment 30	experiment 31	experiment 32	experiment 33	experiment 34	experiment 35	experiment 36	experiment 37	experiment 38	experiment 39	experiment 40	experiment 41	experiment 42	experiment 43	experiment 44	experiment 45	experiment 46	experiment 47	experiment 48	experiment 49
TGFBR1	1.795	0.556	0.421	1.598	-0.905	0.670	0.723	1.110	0.228	0.679	0.485	1.262	0.401	1.357	0.925	0.730	0.720	0.139	0.251	0.918	1.133	1.486	1.089	0.936	0.245	0.701	0.601	0.896	0.915	0.959	1.274	1.164	0.377	1.155	0.904	0.994	0.944	-0.419	0.826	0.750	0.979	-1.043	1.562	0.721	1.175	0.539	0.417	1.296	0.685
ATM	-0.880	-0.416	-0.593	-0.370	0.471	-0.753	-0.628	-0.553	-0.912	-0.629	-0.338	-0.498	-0.436	-0.500	1.351	-0.765	-0.475	-0.715	-0.368	-0.404	-0.554	-0.657	-1.039	-0.463	-1.040	-0.692	-1.082	-0.695	-0.639	-0.625	-0.318	-0.396	-1.126	-0.825	-0.812	-0.860	0.095	0.736	0.097	-0.461	0.782	1.441	-0.325	-1.365	0.515	0.381	-0.642	0.437	-0.359
TP53	2.085	1.041	0.313	0.651	1.122	0.750	0.739	-0.137	0.923	1.158	1.161	0.878	0.832	1.187	-0.157	0.670	0.202	1.179	0.084	1.186	-0.434	0.962	0.997	0.975	0.677	1.010	1.367	0.619	1.301	1.221	0.851	0.871	1.340	0.766	0.883	-0.374	-0.322	-0.361	-0.469	0.831	-0.234	0.058	0.249	1.400	0.256	1.293	0.889	0.148	0.027
CTNNB1	2.433	3.056	2.796	2.941	2.616	3.796	3.106	1.383	3.495	3.231	3.221	3.002	2.580	2.875	-0.802	2.573	2.496	2.001	1.559	1.981	0.108	1.643	4.014	3.067	3.102	3.896	4.207	-0.303	4.413	3.622	2.141	2.082	3.481	1.712	3.014	2.799	4.686	1.784	2.346	2.849	1.151	1.595	3.229	1.264	3.286	2.794	3.058	3.211	2.689
ERBB3	-0.673	-0.751	0.286	-0.595	-0.463	0.279	0.217	-0.831	-0.889	-0.792	-0.528	-0.872	-0.893	-1.133	-1.698	-1.863	-1.250	-0.365	0.418	-0.896	-0.414	0.587	-0.532	-0.336	-0.926	-1.187	-0.574	-1.034	-0.427	0.689	-0.296	-1.286	0.534	-1.474	-1.373	-0.356	-1.141	-0.567	-0.457	-0.118	-0.428	-0.626	-0.483	-0.991	-0.485	-0.939	-0.170	-1.190	-0.009
PIK3R1	-0.758	-0.595	-0.789	-0.460	-1.227	-0.872	-0.475	0.407	-0.964	-0.880	-1.190	-0.935	-0.909	-1.096	-0.234	-0.755	-0.778	-0.901	-0.737	-1.306	0.050	-0.414	-1.186	-1.208	-1.226	-1.063	-1.240	-0.858	-0.669	-0.678	-0.358	-0.591	-1.301	-0.120	-1.126	-0.893	-0.560	-0.332	-1.108	-1.275	-0.380	-0.965	-0.377	-1.217	-0.575	-0.809	-1.120	-0.558	-0.596
BRAF	0.942	0.848	1.035	0.511	0.485	1.053	1.097	0.437	0.656	1.117	0.282	1.067	0.949	0.224	1.328	0.868	0.933	0.268	0.692	0.599	0.297	0.584	0.559	0.457	0.520	0.977	0.914	0.954	1.534	1.134	0.465	0.812	0.719	1.161	0.644	0.697	1.077	1.076	1.008	0.947	-1.998	0.654	0.850	1.290	1.067	0.986	0.496	0.797	1.295
PTEN	0.551	0.007	0.070	-0.075	0.072	-0.476	0.063	-0.180	-0.211	-0.279	-0.321	-0.048	-0.143	-0.269	0.364	-0.309	-0.118	-0.310	-0.229	-0.264	0.005	-0.475	-0.161	0.626	0.550	0.792	-0.307	-0.532	-0.171	-0.153	-0.086	-0.138	-0.115	0.325	-0.105	3.223	-0.231	-0.748	0.364	-0.336	-0.180	0.234	0.566	0.377	0.148	0.156	-0.256	-1.325	1.502
PIK3CA	-0.368	-0.252	-0.339	-0.232	-0.225	0.005	-0.360	0.043	0.120	0.240	-0.042	-0.361	0.128	-0.446	-0.395	0.092	-0.059	-0.342	0.516	-0.236	-0.185	0.014	0.465	-0.073	-0.072	-0.612	0.664	-0.487	0.049	0.244	-0.300	-0.423	-0.269	-0.451	0.004	0.215	0.436	0.199	-0.244	-0.171	-0.017	0.032	-0.447	0.503	0.655	0.503	0.243	-0.359	0.661
ERBB2	3.831	3.650	3.558	4.355	3.792	4.669	4.474	5.464	2.777	3.911	4.111	4.271	3.189	3.358	0.625	4.066	3.766	3.830	5.016	3.323	4.252	3.922	3.145	4.344	3.407	3.309	3.342	4.813	2.524	3.756	3.675	3.966	3.110	3.951	3.613	5.960	1.623	2.909	1.070	3.365	-0.412	4.303	3.397	4.657	1.535	3.855	3.188	3.474	3.623
MYC	0.200	-0.550	0.554	0.809	0.537	-0.274	0.420	0.773	0.695	0.283	-0.166	3.932	-0.200	0.295	0.879	0.415	0.313	-0.036	0.407	0.354	0.023	0.225	1.909	0.664	-0.221	0.022	2.548	3.050	0.308	0.322	0.194	0.534	0.242	0.634	0.792	0.265	0.959	1.135	0.420	0.496	-0.003	0.172	1.779	1.197	1.503	0.042	0.273	0.385	0.684
IGF2	0.912	-0.711	-0.737	-0.073	-0.251	-0.534	-0.329	0.593	-1.081	-0.681	-0.909	-0.357	-0.740	-1.066	-0.859	-0.427	-0.793	-0.195	0.096	-1.058	0.592	-0.710	-1.325	-1.162	-0.960	-0.791	-0.861	-0.572	-0.321	-0.797	-0.194	-0.467	-1.239	-0.004	-1.063	-0.145	0.805	0.662	0.338	-0.691	1.112	0.780	-0.404	0.786	0.835	0.996	-1.194	0.386	0.234
APC	5.107	4.095	1.333	3.686	2.410	4.358	1.310	4.896	3.055	4.083	3.854	3.624	2.910	2.979	0.153	4.413	3.761	4.369	0.146	3.304	0.455	0.625	2.819	4.739	4.766	4.331	4.657	0.479	3.049	2.489	3.276	2.821	4.332	4.314	3.616	1.114	0.346	0.558	0.130	4.133	-0.554	0.306	4.341	0.668	0.281	0.281	3.410	0.083	3.133
