feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23
TGFBR1	0.057	0.498	0.756	1.024	0.780	1.021	1.038	0.978	0.950	1.163	1.030	1.803	0.456	1.829	1.280	0.855	1.396	1.034	0.816	0.747	1.446	1.443	0.932
ATM	-0.808	-0.653	-0.284	-0.497	-0.023	-1.171	-1.504	-1.022	-1.476	-0.898	-0.705	-0.339	-1.713	-1.751	-0.838	-0.633	-0.484	-0.158	-0.896	-0.034	-0.737	-1.493	-1.064
TP53	0.431	0.752	0.766	0.519	0.902	1.305	1.387	1.081	1.092	0.790	0.771	1.254	0.480	0.309	1.659	0.177	0.401	-0.569	1.117	0.878	0.761	1.506	1.104
CTNNB1	1.674	4.662	4.117	3.384	3.394	3.450	4.710	3.648	4.066	2.977	4.008	4.609	2.371	4.074	3.877	2.549	1.049	1.522	3.874	1.961	2.759	3.479	2.931
ERBB3	-1.222	-1.253	-1.033	1.948	-1.057	-0.588	0.083	-1.780	-0.635	-1.995	-1.208	0.619	-1.130	0.644	-0.006	0.642	-0.644	-0.982	-0.853	-0.051	-0.315	-0.532	-1.281
PIK3R1	-0.472	-0.690	-1.157	-0.901	-1.164	-0.977	-0.859	-1.366	-1.292	-0.789	-0.882	-0.117	-0.717	-1.588	-1.249	-0.603	-1.013	-1.073	-1.369	-0.332	-0.921	-1.417	-1.569
BRAF	0.628	0.632	0.255	0.042	1.033	1.028	1.077	0.728	0.462	0.281	0.359	0.573	0.998	0.144	0.705	0.203	0.344	-0.683	0.331	0.308	0.137	0.813	1.002
PTEN	-0.692	0.320	1.375	-0.130	1.423	1.304	-0.376	-0.722	-0.687	-0.639	0.117	0.252	0.288	2.123	0.338	-0.702	0.032	0.122	0.399	0.171	-0.863	0.136	0.316
PIK3CA	-0.439	-0.298	-0.921	0.019	0.298	-0.361	-0.118	-0.633	2.836	-0.520	-0.879	-0.323	-1.082	1.247	-0.452	-0.658	-0.403	-0.133	-0.866	-0.551	0.057	0.112	0.328
ERBB2	5.599	4.884	4.949	3.989	2.043	3.700	4.359	3.084	3.944	4.892	4.954	5.644	3.735	4.926	4.153	4.312	3.838	3.945	4.242	4.379	4.563	4.183	3.969
MYC	1.125	0.755	3.231	0.264	-0.084	0.831	-0.051	0.179	-0.392	0.866	0.130	0.342	0.245	0.395	0.046	-0.193	0.729	0.382	0.345	0.659	-0.417	0.344	0.001
IGF2	0.087	-0.342	-0.527	-0.219	-0.526	-0.949	-0.495	-0.661	-0.205	-0.478	-0.342	0.033	-0.113	0.117	-1.041	-0.586	-1.631	-0.011	-0.848	-0.644	-0.984	-0.605	-0.754
APC	0.181	4.619	4.492	0.297	1.022	4.928	5.052	4.512	3.834	4.994	4.143	2.069	4.526	5.051	4.194	3.519	2.946	4.220	4.275	4.496	4.312	4.627	4.213
NRAS	-2.022	-2.499	-2.045	0.358	-4.201	-3.283	-1.093	0.552	-2.899	-0.344	0.535	-2.231	-1.998	0.393	-2.384	-0.968	1.516	-1.455	-0.362	-0.393	0.208	-1.458	-1.107
TGFB1	-1.627	-2.308	-2.838	-2.540	-3.125	-1.661	-2.125	-2.397	-2.069	-1.973	-2.550	-1.788	-1.744	-3.367	-2.377	-3.186	-3.018	-3.011	-2.615	-2.710	-3.308	-2.432	-2.295
SMAD3	-0.939	-0.555	-0.305	0.987	-1.956	-1.920	-1.842	-1.541	1.383	-0.669	-1.818	-1.091	-1.909	-0.877	-0.447	-0.248	0.435	0.688	-0.702	-0.324	-0.248	-0.882	-1.131
AXIN2	1.032	0.886	0.548	0.076	1.699	1.236	0.886	0.987	1.157	0.660	0.803	1.137	1.311	0.596	0.957	0.313	0.168	0.585	0.840	0.721	0.332	1.021	0.768
IGF1R	0.079	-0.115	0.362	-0.412	0.135	0.014	0.060	-0.453	0.033	-0.757	0.046	0.205	0.310	0.575	0.161	-0.387	-0.598	0.186	-0.007	0.569	0.627	-0.586	-0.047
SMAD4	-0.291	-0.772	-1.107	-1.760	2.602	-1.564	-1.882	-1.901	1.757	-0.037	-1.030	-0.108	-0.330	-1.181	-0.055	-0.624	-0.539	-0.301	0.646	-0.671	-0.865	-0.033	0.475
KRAS	-3.330	-0.728	-2.586	-2.700	1.332	-1.801	-0.521	0.080	-2.212	-2.285	-0.534	-3.709	2.392	-0.831	-0.501	-2.485	1.051	-3.653	1.052	-3.026	-0.381	-0.552	-1.968
PUSL1	-0.275	-0.889	-0.920	-0.983	-1.630	-1.355	-1.403	-0.993	-1.367	-0.328	-1.192	-0.424	-0.355	-0.360	-1.262	-0.685	-1.397	-0.307	-1.304	-1.015	-0.575	-1.353	-1.103
LOC129881	0.590	1.211	1.865	0.410	1.155	0.383	0.994	1.261	2.042	1.796	3.117	1.339	1.852	1.062	1.878	0.692	-0.333	2.022	1.618	2.487	0.739	1.747	0.483
OBFC1	1.149	1.087	0.857	-0.018	0.259	0.536	1.067	0.283	0.624	-0.226	0.538	0.586	-0.197	-0.123	0.630	-0.019	0.040	-0.343	0.560	0.064	-0.052	0.303	0.345
GKAP1	0.007	0.664	0.109	-1.149	1.034	1.222	1.619	-0.387	-0.424	0.090	0.134	0.392	0.458	-0.850	0.334	-1.098	-0.723	-0.843	0.584	-0.492	-0.703	0.325	0.107
ZAP70	-1.996	-1.938	-1.518	-1.173	-3.219	-2.727	-2.183	-1.387	-2.480	-1.256	-1.457	-1.833	-2.545	-0.868	-2.964	-1.512	-0.023	-1.404	-1.313	-1.155	-0.675	-2.240	-2.472
SPATS2	-0.308	0.034	-0.798	-0.766	-0.723	-1.153	-0.555	-0.935	-0.732	-0.912	-0.197	-0.345	-0.645	-1.119	-0.593	-0.788	-0.317	-1.238	-0.356	-0.894	-1.625	-0.879	-0.684
GPR151	2.376	1.097	1.240	1.183	0.542	2.032	1.505	1.078	1.534	1.864	1.692	2.541	1.881	2.239	0.221	0.938	0.356	1.954	1.392	1.308	0.920	1.227	0.451
RAPGEF3	3.623	1.203	2.175	1.337	1.459	1.149	0.922	1.588	1.562	1.507	1.276	0.633	1.173	0.895	2.525	2.092	1.055	1.215	2.910	1.808	0.954	2.380	1.970
IGSF10	-3.870	-4.328	-3.905	-3.757	-4.885	-5.152	-4.761	-5.830	-3.288	-3.917	-3.984	-3.692	-4.912	-4.128	-5.226	-4.071	-4.936	-4.577	-4.548	-3.977	-5.673	-5.408	-5.539
THUMPD3	-0.505	-0.995	-1.716	-1.560	-0.321	-1.501	-1.262	-2.901	-1.555	-1.631	-1.409	-2.126	-1.334	-1.588	-1.509	-1.802	-1.436	-2.140	-1.431	-1.511	-1.709	-1.796	-1.323
PDGFC	1.253	0.589	0.167	-1.245	0.567	0.858	1.264	1.118	1.532	0.807	0.499	1.760	1.407	1.015	1.711	-0.439	-0.416	-0.970	0.446	0.399	-0.354	1.015	0.303
ANXA9	1.181	-1.048	-0.723	-0.559	-0.662	-0.587	-1.062	-1.028	-2.425	-1.337	-0.789	0.442	-1.069	-0.875	-1.384	-0.129	-1.121	1.576	0.495	1.496	0.861	-1.599	-0.763
DFFB	-1.027	-0.169	-0.721	-0.359	-1.664	-0.686	-0.491	-0.420	-1.386	-0.306	-0.925	-1.286	-0.216	-0.527	0.064	-0.406	-0.825	-0.494	-0.953	-0.754	-0.857	-0.582	-0.950
HMGCL	1.718	0.956	1.442	-0.355	0.758	1.414	1.583	0.567	0.757	0.567	1.238	1.301	1.633	0.193	0.896	1.180	0.139	1.190	1.840	0.525	0.901	1.474	1.281
HIST1H3F	-1.149	-0.644	-1.539	-1.016	-2.124	-0.797	-0.847	-0.944	-0.812	-0.632	-0.954	-0.035	-1.164	-0.800	-0.860	-1.262	-1.215	-1.522	-1.327	-0.216	-1.169	-1.089	-1.030
TACSTD2	-2.990	-2.923	-0.890	-2.460	1.023	-2.430	-2.175	-2.951	-2.360	-2.405	-2.285	-2.054	-2.004	-0.590	-2.054	-1.414	-2.445	-2.325	-1.629	-2.514	-2.013	-2.061	-1.855
C11orf75	1.081	1.518	0.559	0.931	0.355	1.506	1.262	0.549	1.343	1.480	1.281	1.051	0.996	2.534	0.435	1.210	1.605	1.722	1.083	1.503	1.393	1.736	1.925
PTOV1	-0.229	-0.044	0.078	-0.255	0.206	-0.354	-0.618	-0.941	-0.425	-0.555	-0.399	0.079	-0.582	-0.386	-0.532	-0.081	-0.274	0.650	0.159	0.091	-0.227	-0.083	-0.101
SUPT7L	-0.029	0.060	0.014	0.046	0.483	0.356	-0.268	0.276	-0.047	-0.454	-0.518	-0.518	-0.428	-0.702	0.182	-0.147	0.004	-0.620	-0.405	0.594	0.304	-0.119	-0.180
TOP3A	-1.068	-0.685	-0.321	-0.497	-0.990	-1.012	-1.399	-1.032	-0.795	-0.482	-0.651	-1.048	-0.478	-0.295	-1.310	-0.386	-0.310	-0.325	-1.004	-0.538	-0.769	-0.781	-0.942
NDUFA12	0.825	0.567	0.380	0.327	1.454	0.492	0.592	0.298	0.382	0.302	0.884	0.903	0.221	0.317	0.484	0.456	-0.563	0.247	0.566	-0.239	0.241	0.220	0.136
ZMYM5	-0.135	-0.180	-1.121	-0.166	-0.011	-0.373	-0.084	0.075	-0.259	-1.042	-0.208	-0.291	-0.302	-0.748	-0.386	-0.916	-0.397	-1.230	-1.068	-0.659	-0.854	-0.879	-0.372
ADFP	1.060	3.215	3.994	3.128	-1.627	3.954	3.655	2.962	2.975	2.925	3.812	3.159	3.894	0.977	3.966	2.898	4.380	3.024	4.511	2.947	4.049	3.650	3.726
SSH2	0.220	-0.736	-0.468	-0.182	-0.880	-0.958	-0.979	-0.673	-1.571	-0.691	-0.876	0.101	-0.898	-1.184	-0.761	-0.735	-1.306	-1.016	-1.278	-0.556	-0.914	-0.952	-1.000
FAM9C	-0.735	0.100	0.196	-0.437	-0.547	-0.279	0.771	0.025	-0.348	-0.433	0.148	0.259	-0.054	0.357	0.395	-0.842	-0.682	-0.075	-0.134	-0.172	-0.286	0.133	0.260
DDX23	-0.639	-0.470	-0.022	-0.206	-0.624	-0.754	-1.272	-0.511	-0.191	-0.469	-0.394	-0.574	0.113	-0.342	-0.024	0.462	0.735	0.269	-0.225	0.072	-0.024	-0.597	-0.006
CRYGC	-1.972	-0.904	-0.766	-1.484	-0.436	-0.344	-1.457	-1.222	-1.157	-2.813	-1.300	-1.103	-1.439	-1.071	-0.586	-2.061	-1.688	-0.924	-1.107	-1.328	-1.041	-1.614	-1.488
SELP	3.237	4.485	4.575	3.719	4.033	3.865	3.565	3.192	3.138	3.272	3.974	3.919	2.879	5.936	4.839	4.894	3.829	2.717	4.602	5.225	4.312	4.192	4.433
CCL19	3.561	3.466	2.992	4.785	4.366	1.969	3.605	3.304	3.372	4.991	4.919	5.469	2.564	6.018	1.312	4.059	3.921	4.796	2.932	4.539	5.165	3.766	1.456
LARS	-0.943	-0.311	-0.386	-0.519	-0.228	-0.656	-1.035	-0.762	-0.051	-0.504	-0.572	0.061	-0.558	-0.776	-0.620	-0.524	-0.499	0.229	-0.538	-0.750	-0.348	-0.794	-0.390
FAM109B	0.172	1.398	1.438	0.706	1.263	0.366	0.890	0.358	0.754	0.913	1.079	0.734	0.349	1.184	0.871	1.546	2.050	0.726	1.446	1.628	0.967	1.062	1.139
DIS3L	-0.511	0.058	0.717	-0.304	-0.237	-0.248	-0.701	-0.721	-0.806	0.001	-0.361	-0.560	-0.257	-0.201	-0.089	-0.424	-0.008	0.000	-0.199	0.396	-0.886	-0.338	-0.230
FAM38A	-1.107	-0.911	-0.210	0.073	-1.463	-0.913	-0.810	-0.484	-0.597	-0.373	-0.382	-0.709	-0.587	-0.231	-0.704	0.223	0.270	0.446	-0.536	-0.597	-0.374	-0.867	-0.111
VISA	-0.205	-0.741	-0.361	0.066	-0.199	-0.272	-0.660	0.161	-0.076	-0.107	-0.480	-0.397	-0.362	0.246	-0.671	-0.030	-0.367	0.667	-0.787	-0.352	-0.012	-0.702	-0.492
HSDL1	-0.905	-0.774	-0.946	-1.609	-0.441	-0.870	-0.646	-1.298	-0.587	-1.125	-0.698	-0.588	-0.631	-1.079	-0.614	-0.996	-0.854	-1.062	-0.266	-0.530	-0.958	-0.769	-0.374
XRCC6BP1	-0.565	-0.906	-0.988	-1.365	-1.127	-0.723	-0.038	-0.887	-0.676	-0.513	-0.660	0.071	-0.127	-1.248	-0.520	-1.062	-1.957	-1.151	-0.605	-1.163	-1.374	-0.553	-0.910
ASCC2	-0.611	-0.300	-0.217	-0.557	0.029	-0.681	-0.986	-0.905	-0.334	-0.499	-0.482	-0.892	-0.539	-0.400	-0.689	0.540	0.654	1.206	0.002	0.439	0.422	-0.110	0.353
FABP7	-4.201	2.861	6.548	6.226	-5.462	5.475	6.943	-2.463	3.567	3.605	-0.146	6.730	-3.524	-3.318	-4.638	-1.912	6.570	3.513	6.918	-3.872	6.920	4.661	6.519
TRIM6	1.119	1.248	2.056	0.436	0.564	3.076	2.673	1.842	2.608	2.257	1.443	1.302	2.672	3.016	2.527	0.574	0.819	1.415	0.949	2.503	1.013	2.372	2.133
ATE1	0.139	-0.483	-0.794	-1.042	0.762	-0.363	-0.366	-0.665	-0.694	-1.125	-0.637	-0.413	-0.906	-0.946	0.574	-1.004	-0.787	-1.053	-0.172	0.119	-0.729	-0.098	-0.239
PRB1	0.447	0.198	-0.600	-1.278	1.837	0.979	0.354	0.336	-0.435	-0.252	-1.122	-0.151	0.123	-2.955	0.133	-0.874	-0.828	-0.846	-1.335	-0.892	0.619	0.525	-0.500
SGPP2	5.979	4.539	4.167	4.318	4.556	3.524	3.681	4.082	3.579	4.136	4.768	4.813	4.452	4.707	3.843	4.203	3.796	3.373	4.204	4.398	4.875	4.516	4.517
CHORDC1	-1.740	-1.696	-1.977	-1.353	-1.514	-0.611	-1.669	-0.937	-1.444	-1.434	-1.787	-1.878	-1.706	-0.964	-1.246	-1.478	-0.571	-1.810	-1.730	-1.431	-1.534	-1.371	-1.122
ATPAF2	1.091	0.412	0.524	-0.387	0.350	0.341	0.100	-0.683	-0.053	0.328	0.357	0.318	0.266	0.050	-0.182	0.377	-0.161	0.782	0.867	0.487	0.295	0.423	0.365
SERPINA12	0.396	-0.439	0.135	0.552	-0.502	-0.402	0.416	0.357	-0.828	-0.248	0.775	0.746	0.083	-0.251	-0.056	0.071	-0.356	0.300	0.017	0.198	-0.263	-0.453	0.445
MAF	0.912	1.177	1.184	1.370	0.535	2.592	2.777	1.780	0.835	2.579	2.005	1.668	2.567	1.235	2.676	1.395	0.199	0.382	1.945	1.321	1.309	2.785	1.557
UBXD6	0.293	0.787	0.445	-0.602	0.604	0.222	1.158	-0.737	0.379	0.296	0.134	1.259	-0.097	-0.794	0.575	-0.948	-0.832	-1.286	0.261	-1.169	0.042	-0.126	0.236
PIM3	0.212	0.649	0.835	0.796	0.720	1.119	0.137	1.699	0.695	1.102	0.775	-0.034	1.729	1.284	1.034	1.284	1.134	1.203	0.989	1.559	0.712	1.463	0.811
ST3GAL1	0.326	-0.387	0.326	0.001	1.644	-0.441	-0.593	-0.358	0.004	0.171	0.149	-0.341	-0.049	-0.225	-0.780	0.768	0.396	0.743	0.361	0.168	0.183	-0.034	0.260
DKFZp686D0972	0.103	0.686	0.214	-0.430	-0.025	-0.018	0.120	-0.081	-0.348	-0.135	0.544	-0.051	0.230	0.741	0.130	0.762	1.426	0.253	-0.261	0.481	0.671	0.419	0.566
HIC2	-2.954	-2.950	-2.651	-2.007	-2.688	-2.821	-2.962	-1.945	-2.003	-2.211	-2.354	-2.482	-2.701	-2.040	-2.267	-2.079	-2.684	-1.920	-2.547	-2.231	-2.860	-2.623	-2.637
GPR171	3.160	3.001	3.311	5.096	3.256	3.075	3.819	4.739	3.878	4.188	4.260	3.129	3.517	4.952	1.751	3.321	4.545	2.667	3.959	4.562	5.768	4.142	3.381
RUNX1T1	-0.587	2.327	3.030	1.542	1.933	2.259	2.406	3.409	2.845	2.172	2.416	2.330	1.456	3.123	3.951	2.998	1.034	2.058	3.664	2.451	2.306	3.796	2.839
CCL5	3.920	4.044	4.203	4.968	2.309	2.927	4.239	4.619	2.574	5.234	5.432	4.084	3.963	5.868	3.167	4.291	4.699	3.840	4.901	4.426	5.249	3.872	3.990
FOXA3	-2.344	-3.078	-2.949	-2.614	-1.765	-2.989	-3.063	-3.490	-3.195	-2.635	-2.692	-2.268	-3.246	-2.688	-3.296	-2.800	-3.094	-2.225	-2.916	-2.985	-3.031	-2.958	-3.058
STX1A	-1.277	-1.299	-1.544	-1.152	-1.645	-1.565	-1.636	-1.388	-1.664	-1.129	-1.308	-1.176	-1.251	-0.934	-1.910	-1.275	-1.455	-1.088	-1.750	-1.479	-1.600	-1.761	-1.503
FLJ40243	-0.460	0.122	-0.004	0.166	-0.077	0.061	0.281	0.010	-0.105	-0.327	0.036	0.247	0.055	0.076	0.077	-0.253	0.135	0.279	-0.383	0.114	0.515	0.129	0.127
SKAP2	2.930	1.543	1.154	1.211	2.111	1.837	2.010	2.106	2.174	1.422	1.551	1.625	2.082	1.825	2.344	2.218	1.209	1.367	1.543	1.636	0.985	1.562	2.090
PAGE5	-2.401	-2.857	-2.188	-2.223	-3.483	-2.631	-2.821	-3.136	-3.226	-2.402	-2.792	-1.972	-3.087	-2.130	-3.258	-2.660	-3.156	-2.088	-2.911	-2.242	-2.037	-3.318	-3.450
SUV39H2	-1.303	-1.277	-1.449	-1.460	-1.621	-1.987	-0.954	-1.898	-1.955	-1.734	-1.259	-1.041	-2.057	-2.625	-1.223	-2.164	-1.650	-2.634	-1.357	-1.456	-1.659	-1.204	-1.723
C20orf194	0.698	1.040	0.885	1.059	1.486	0.810	0.897	1.599	1.101	1.131	0.906	0.774	1.323	1.412	1.319	1.010	0.870	1.529	0.894	0.680	0.840	0.860	1.407
C9orf47	4.876	3.466	1.841	1.369	2.589	4.541	2.884	3.172	5.181	3.323	3.937	3.510	4.428	3.053	2.410	2.736	1.966	5.851	3.500	1.931	2.106	3.737	1.496
SNRPA1	-1.894	-1.525	-1.508	-0.976	-2.205	-1.392	-1.715	-1.235	-1.663	-1.191	-1.852	-1.680	-1.820	-2.086	-1.560	-1.304	-0.617	-1.697	-1.739	-1.621	-1.383	-1.435	-1.517
NSMCE1	0.939	0.421	0.091	-0.274	-0.162	0.135	0.290	-0.437	0.406	-0.577	0.143	0.923	0.122	-1.025	0.285	-0.012	-0.416	0.220	0.068	-0.087	-0.265	0.171	0.766
DENND1A	-0.591	-0.166	0.355	1.949	0.059	0.707	0.173	0.466	-0.211	0.140	0.291	-0.026	0.346	0.858	-0.510	0.289	1.558	0.187	-0.416	0.250	0.665	0.369	0.399
TSC1	-0.593	-0.453	-0.093	0.419	0.754	0.148	-0.250	0.911	-0.260	-0.595	-0.715	-0.591	-0.437	-0.335	0.521	0.222	0.391	0.163	-0.218	0.189	-0.169	-0.121	0.416
C17orf77	0.210	0.814	-0.662	0.600	0.103	-0.138	-0.157	-2.147	0.498	0.386	0.339	-0.563	0.440	0.061	0.406	0.040	0.879	0.639	0.338	0.149	0.460	0.172	0.641
MXD1	0.199	-0.089	0.105	0.492	0.158	0.021	0.344	0.268	1.951	1.450	0.408	-0.050	0.171	0.752	-0.231	0.860	-0.799	1.267	0.547	0.625	0.495	0.563	-0.180
ZNF354C	-0.288	-0.239	-0.300	-0.235	-0.804	-0.055	0.078	0.077	0.205	0.208	0.434	0.249	0.505	0.093	-0.259	-0.277	0.215	0.048	0.311	-0.334	-0.163	-0.051	-0.096
KIAA1576	-4.038	-3.660	-4.038	-3.601	3.037	-3.506	-3.324	-3.858	-2.015	-3.714	-3.196	-3.707	-4.002	-2.615	-4.771	-4.102	-4.842	-4.176	-2.957	-4.203	-4.780	-1.738	-4.556
RXFP2	0.057	0.598	0.218	0.639	0.875	0.940	0.437	2.722	0.703	-0.253	0.346	0.604	0.523	0.409	-1.103	-0.273	0.472	1.716	-0.628	-0.752	0.779	0.263	0.659
